set,algorithm,id,size,time
Alpha,Improved,185,702,7.99e-06
Alpha,Generated,186,702,14.61e-06
Alpha,Generated,187,702,80.28e-06
Alpha,Generated,188,702,20.54e-06
Alpha,Generated,189,702,16.11e-06
Alpha,Generated,190,702,22.70e-06
Alpha,Improved,186,702,7.20e-06
Alpha,Improved,187,702,59.37e-06
Alpha,Improved,188,702,11.49e-06
Alpha,Improved,189,702,8.69e-06
Alpha,Improved,190,702,13.87e-06
Alpha,Generated,191,702,98.65e-06
Alpha,Generated,192,702,37.74e-06
Alpha,Generated,193,702,70.56e-06
Alpha,Generated,194,702,18.29e-06
Alpha,Generated,195,702,115.65e-06
Alpha,Improved,191,702,75.93e-06
Alpha,Improved,192,702,24.05e-06
Alpha,Improved,193,702,48.89e-06
Alpha,Improved,194,702,10.02e-06
Alpha,Improved,195,702,87.30e-06
Alpha,Generated,196,702,25.17e-06
Alpha,Generated,197,702,41.15e-06
Alpha,Generated,198,702,52.15e-06
Alpha,Generated,199,702,25.40e-06
Alpha,Generated,200,702,167.30e-06
Alpha,Improved,196,702,28.17e-06
Alpha,Improved,197,702,49.65e-06
Alpha,Improved,198,702,66.28e-06
Alpha,Improved,199,702,19.58e-06
Alpha,Improved,200,702,114.65e-06
Alpha,Generated,201,802,27.85e-06
Alpha,Generated,202,802,254.69e-06
Alpha,Generated,203,802,85.26e-06
Alpha,Generated,204,802,82.54e-06
Alpha,Generated,205,802,68.07e-06
Alpha,Improved,201,802,14.77e-06
Alpha,Improved,202,802,192.66e-06
Alpha,Improved,203,802,50.06e-06
Alpha,Improved,204,802,57.81e-06
Alpha,Improved,205,802,42.66e-06
Alpha,Generated,206,802,171.14e-06
Alpha,Generated,207,802,50.83e-06
Alpha,Generated,208,802,106.16e-06
Alpha,Generated,209,802,144.17e-06
Alpha,Generated,210,802,226.95e-06
Alpha,Improved,206,802,123.94e-06
Alpha,Improved,207,802,30.89e-06
Alpha,Improved,208,802,69.77e-06
Alpha,Improved,209,802,100.62e-06
Alpha,Improved,210,802,165.27e-06
Alpha,Generated,211,802,17.23e-06
Alpha,Generated,212,802,90.59e-06
Alpha,Generated,213,802,95.87e-06
Alpha,Generated,214,802,241.94e-06
Alpha,Generated,215,802,121.75e-06
Alpha,Improved,211,802,7.63e-06
Alpha,Improved,212,802,61.29e-06
Alpha,Improved,213,802,66.24e-06
Alpha,Improved,214,802,179.13e-06
Alpha,Improved,215,802,81.07e-06
Alpha,Generated,216,802,43.17e-06
Alpha,Generated,217,802,104.91e-06
Alpha,Generated,218,802,63.00e-06
Alpha,Generated,219,802,36.23e-06
Alpha,Generated,220,802,90.67e-06
Alpha,Improved,216,802,55.44e-06
Alpha,Improved,217,802,149.57e-06
Alpha,Improved,218,802,44.19e-06
Alpha,Improved,219,802,17.83e-06
Alpha,Improved,220,802,60.51e-06
Alpha,Generated,221,802,91.20e-06
Alpha,Generated,222,802,80.30e-06
Alpha,Generated,223,802,100.39e-06
Alpha,Generated,224,802,49.79e-06
Alpha,Generated,225,802,77.94e-06
Alpha,Improved,221,802,66.19e-06
Alpha,Improved,222,802,57.01e-06
Alpha,Improved,223,802,71.17e-06
Alpha,Improved,224,802,34.03e-06
Alpha,Improved,225,802,56.93e-06
Alpha,Generated,226,902,20.98e-06
Alpha,Generated,227,902,18.96e-06
Alpha,Generated,228,902,94.45e-06
Alpha,Generated,229,902,109.52e-06
Alpha,Generated,230,902,81.80e-06
Alpha,Improved,226,902,10.96e-06
Alpha,Improved,227,902,6.37e-06
Alpha,Improved,228,902,62.84e-06
Alpha,Improved,229,902,70.25e-06
Alpha,Improved,230,902,50.76e-06
Alpha,Generated,231,902,86.90e-06
Alpha,Generated,232,902,138.06e-06
Alpha,Generated,233,902,38.64e-06
Alpha,Generated,234,902,60.99e-06
Alpha,Generated,235,902,97.22e-06
Alpha,Improved,231,902,62.61e-06
Alpha,Improved,232,902,104.39e-06
Alpha,Improved,233,902,25.14e-06
Alpha,Improved,234,902,41.96e-06
Alpha,Improved,235,902,70.23e-06
Alpha,Generated,236,902,22.30e-06
Alpha,Generated,237,902,35.35e-06
Alpha,Generated,238,902,134.11e-06
Alpha,Generated,239,902,141.90e-06
Alpha,Generated,240,902,134.56e-06
Alpha,Improved,236,902,10.68e-06
Alpha,Improved,237,902,18.71e-06
Alpha,Improved,238,902,94.48e-06
Alpha,Improved,239,902,99.98e-06
Alpha,Improved,240,902,92.63e-06
Alpha,Generated,241,902,45.09e-06
Alpha,Generated,242,902,15.46e-06
Alpha,Generated,243,902,119.56e-06
Alpha,Generated,244,902,17.08e-06
Alpha,Generated,245,902,86.52e-06
Alpha,Improved,241,902,27.44e-06
Alpha,Improved,242,902,6.82e-06
Alpha,Improved,243,902,89.36e-06
Alpha,Improved,244,902,8.49e-06
Alpha,Improved,245,902,58.20e-06
Alpha,Generated,246,902,87.45e-06
Alpha,Generated,247,902,110.38e-06
Alpha,Generated,248,902,106.99e-06
Alpha,Generated,249,902,103.68e-06
Alpha,Generated,250,902,126.26e-06
Alpha,Improved,246,902,52.69e-06
Alpha,Improved,247,902,72.95e-06
Alpha,Improved,248,902,73.12e-06
Alpha,Improved,249,902,70.68e-06
Alpha,Improved,250,902,86.63e-06
Alpha,Generated,251,1002,81.60e-06
Alpha,Generated,252,1002,106.45e-06
